   0.0000000000000000                    (1.0000000000333005,0.0000000000000000)
  0.10000000000000001                 (0.94553321317292693,-0.29204513251385644)
  0.20000000000000001                 (0.79357206850044315,-0.53897041135948054)
  0.30000000000000004                 (0.57462533025215334,-0.70755170368639508)
  0.40000000000000002                 (0.32866745373745876,-0.78366813745575536)
  0.50000000000000000            (9.40373353789696609E-002,-0.77268540486027892)
  0.60000000000000009                (-0.10094476473950886,-0.69417565718442031)
  0.70000000000000007                (-0.24153315524485597,-0.57414829346261509)
  0.80000000000000004                (-0.32563418600512384,-0.43795881654609220)
  0.90000000000000002                (-0.36021103589878078,-0.30571655106512924)
   1.0000000000000000                (-0.35698901506142050,-0.19048266637027453)
   1.1000000000000001           (-0.32880796818666663,-9.85841990091100989E-002)
   1.2000000000000002           (-0.28718343909886085,-3.10869520416984860E-002)
   1.3000000000000000            (-0.24107159764676617,1.43762627344240050E-002)
   1.4000000000000001            (-0.19656155178809565,4.19279324889458502E-002)
   1.5000000000000000            (-0.15715798235947886,5.61593859435700754E-002)
   1.6000000000000001            (-0.12435829541942517,6.12965365981283372E-002)
   1.7000000000000002       (-9.83027025456388315E-002,6.07733334844746398E-002)
   1.8000000000000000       (-7.83541816153996984E-002,5.71145969326970135E-002)
   1.9000000000000001       (-6.35373483664856686E-002,5.20135513492607643E-002)
   2.0000000000000000       (-5.28228183458909969E-002,4.65011742000729991E-002)
   2.1000000000000001       (-4.52802779072570133E-002,4.11331686793862117E-002)
   2.2000000000000002       (-4.01385644136590947E-002,3.61529049680134676E-002)
   2.3000000000000003       (-3.67901501998871908E-002,3.16150717918233307E-002)
   2.4000000000000004       (-3.47685903693671083E-002,2.74710426803661915E-002)
   2.5000000000000000       (-3.37172759399611971E-002,2.36240994792281181E-002)
   2.6000000000000001       (-3.33596397799528696E-002,1.99638247448328844E-002)
   2.7000000000000002       (-3.34755793160442863E-002,1.63872152611668383E-002)
   2.8000000000000003       (-3.38857049027258203E-002,1.28114351105463650E-002)
   2.9000000000000004       (-3.44431898938499445E-002,9.18075132335363815E-003)
   3.0000000000000000       (-3.50318298115090757E-002,5.46861058115257880E-003)
   3.1000000000000001       (-3.55681537040798551E-002,1.67517582183306091E-003)
   3.2000000000000002      (-3.60051125895802238E-002,-2.17916529826342638E-003)
   3.3000000000000003      (-3.63351648632147112E-002,-6.06313460788558255E-003)
   3.4000000000000004      (-3.65914840913615577E-002,-9.94495338364392335E-003)
   3.5000000000000000      (-3.68471395519412229E-002,-1.38018716645342456E-002)
   3.6000000000000001      (-3.72130061897661749E-002,-1.76271608752108129E-002)
   3.7000000000000002      (-3.78357855529902268E-002,-2.14332264338951903E-002)
   3.8000000000000003      (-3.88978990244443282E-002,-2.52498755514416057E-002)
   3.9000000000000004      (-4.06209656641582303E-002,-2.91171296556896955E-002)
   4.0000000000000000      (-4.32739530187310276E-002,-3.30719782593441314E-002)
   4.1000000000000005      (-4.71859761840802139E-002,-3.71278492045149094E-002)
   4.2000000000000002      (-5.27621923467694737E-002,-4.12443617826529704E-002)
   4.2999999999999998      (-6.04990899421905606E-002,-4.52834912784742666E-002)
   4.4000000000000004      (-7.09922314279542721E-002,-4.89472492961657152E-002)
   4.5000000000000000      (-8.49247175893860784E-002,-5.16924517115035856E-002)
   4.6000000000000005           (-0.10301840068630483,-5.26217960600631335E-002)
   4.7000000000000002           (-0.12592366339712807,-5.03594354389493709E-002)
   4.8000000000000007           (-0.15402105035582681,-4.29351101572816099E-002)
